Hash	Files	Lines Added	Lines Removed	Bugs Induced	Bugs Contributed	Bugs Fixed	Positive Sentiment	Negative Sentiment	Code Score
1a1d0d74d5794bb126e14f6577d553c6db74586c	0	0	0	2593	781	0	0	0	-2452.048
8a0dc230f44e84e5a7f7920cf9a31f09a54999ac	0	0	0	721	271	0	0	0	-665.656
00ea9a41b5298540e94ee681dc910b173297c056	0	0	0	173	11	0	0	0	-175.928
0319caa55f7f15eb5ccb07c0491ed0d0c06ff10c	0	0	0	158	1	0	0	0	-163.388
3bce1000dfb7186c058279d92324d500cbf20a36	0	0	0	148	6	0	0	0	-151.528
7926a20408a10031524b2f4a0ea3ffacc9cccedc	7	360	1	110	21	0	1	-1	-107.66
754f9934d4e48d084028ff8ccb83dd380284de46	3	33	14	106	8	0	1	-1	-107.416
44f444e217ca8b6389f5e954616a3a3d55a633fe	12	582	424	133	102	0	1	-1	-107.188
39c6f36f3005ab08718fd2cb8a434b5c589aa5e1	0	0	0	99	0	0	0	0	-102.564
d2f49da5b6352a485af13da6f83d1ba63395dbc0	0	0	0	86	3	0	0	0	-88.196
9768125371ded0c6d404c95f42007f468aea683a	0	0	0	93	26	1	0	0	-86.048
036a8e94ed37cf851f0cafb9cb12c21e3496ed7c	0	0	0	81	9	0	0	0	-81.216
39cf92377e0b7721f758c191a573be7f37d99585	0	0	0	56	4	0	0	0	-56.816
2350c9b1ba0f6f0f7c83577735a79170485aa1e4	8	212	23	52	9	0	1	-1	-51.172
48df625a445c6e167d98fab683e9f7600a67c08b	3	43	8	51	6	0	1	-1	-51.036
2a8a0bf7fae1aa1bbbe7a7a2a6fd9384d341609c	0	0	0	55	22	1	0	0	-47.88
5368c96404d415451bb657aea8073834c8bd815b	36	1661	1018	68	81	0	1	-1	-46.148
70c10658148c3eab3b4c4122705e1ed3a12e193d	0	0	0	53	38	0	0	0	-43.508
f60f8bdb9bcdf4fe926498a8ee64acbac7b30940	2	73	0	44	8	0	1	-1	-43.184
aae1682158e8ff565331ad03895411f1afad5918	0	0	0	39	0	0	0	0	-40.404
484d952029b235d889a5d2e4bd9bc44a9707f7ff	18	461	31	35	7	0	1	-1	-34.16
61a1858dae04fc6b653189f3e3fbbcd9072fcf20	3	172	123	32	0	0	3	-1	-33.152
720be7d7a12facd3543c0ffa2d2757ef76b9c06a	17	954	686	33	6	0	2	-1	-32.388
b75d930fc7d1ea48d3bdb313175722ec4599af05	0	0	0	30	2	0	0	0	-30.48
d4c9e40b9116e5bc23d46806626a4f187f974f48	0	0	0	31	13	0	0	0	-28.216
8c4e97d1716d45130fa65a82cb8350055e9f5c98	34	925	55	28	4	0	1	-1	-27.808
ae32c905548e9735e83a8b48a57f3c18c4432c9c	0	0	0	26	3	0	0	0	-26.036
1f2761ec3410da7e621e2cb74c7a9d3d6a622124	13	327	43	27	7	0	1	-1	-25.872
ec91ab1dab9f0d71220bf70e0817a5c0acd0e8b9	7	13	12	27	10	0	1	-1	-24.972
bc2838566f180143f69e8f58b6ce6a46066427ca	8	251	107	24	2	0	1	-1	-24.264
db430b3896faf78023ecf03b043469a50bbf24e6	0	0	0	23	1	0	0	0	-23.528
d82b85716f0f3980f9d50ad803e1d1b5cfdea5f9	3	57	0	22	1	0	1	-1	-22.492
db93c57e0335f01bdb41f581d25511d246584f2c	0	0	0	22	1	0	0	0	-22.492
a1239983e94926fc14cc2bf2fab336184d344fa7	0	0	0	22	6	0	0	0	-20.992
af1d6538f45e3f73985551aee63581b5d1278d5d	8	45	891	21	3	0	2	-1	-20.856
a1e93bf5c903d9a993c554c4dc2c05f7807dde14	25	1430	344	24	8	1	1	-1	-19.964
1ae154b16750d82c5269bece2b07d9a3bd8ef72e	1	21	2	21	0	1	1	-1	-19.256
bc1fdc170eb7131c885d5ddd118435dc9e84d061	9	282	91	18	0	0	1	-1	-18.648
9793a71e28163a2ad948b8e905acf4e6cb95dc01	1	8	2	18	1	0	1	-1	-18.348
a41f73d102aa76625f18f543be944724ca4ef7d1	2	25	6	18	1	0	1	-1	-18.348
6f5dafd34320a89f1dfd1c48081eff4f6ee5a228	135	487	856	17	0	0	1	-1	-17.612
7828dcb46d9a18f88cc8e71046edc9ee91ed95e6	0	0	0	17	0	0	0	0	-17.612
1b22943230c0d5bb5b09695aebe272a0640acbbc	0	0	0	22	9	1	0	0	-17.592
99ccd7f7228ae2f846642f23f81ceb1725f61af6	21	180	57	18	5	0	1	-1	-17.148
39572fbad7e317f9aaf0c114afb7eb6239c88feb	5	136	25	19	9	0	1	-1	-16.984
25c18780aeb1f6f750818fd4df5614e43e8c9a04	0	0	0	23	24	0	0	0	-16.628
2d486947a9407a0f7645685d5ee14f0e671ac1f0	9	264	131	16	0	0	1	-1	-16.576
18e768ec5fc59f2e46df47f6b3d7bbfc015cf4b7	1	3	0	15	0	0	1	-1	-15.54
479bf5343bb1582aa13a865af77de33ab2df6b61	5	102	273	15	0	0	1	-1	-15.54
05b46659e451c316fb5f1a5243c49b9a84a50702	6	416	0	16	4	0	1	-1	-15.376
2778d3f0ce9a0cc2e2862d122ecb2df9ce05aa71	4	55	3	15	1	0	1	-1	-15.24
6b3f19be6e5971de9d247dbb452b42b1d527e691	28	401	36	17	8	0	1	-1	-15.212
9ceeb55624345b1e97747260cc2fa124fab687f8	0	0	0	16	6	0	0	0	-14.776
c85e60f14e0ccd5b45a1c4fa0a96b794f39e238c	0	0	0	19	17	0	0	0	-14.584
cb8fe5a683a496ac822fac79d0814990d357b241	8	12	200	15	4	0	1	-1	-14.34
b82738b43b543e20b676db4a1ff3a9c916be285a	0	0	0	14	1	0	0	0	-14.204
7723cd7e9c085abcbec9029e8866b8863085ae92	19	473	283	15	5	0	1	-1	-14.04
fa13a57cfa0160bc7a445c6fcd8ff5aeb3fcebc1	0	0	0	13	0	0	0	0	-13.468
a95f3fe974ddc2a7840fe724d1fc2ac596c96bfa	0	0	0	13	0	0	0	0	-13.468
a038929e56300e98d579f16d79f63305ecd8c2b7	0	0	0	13	0	0	0	0	-13.468
aad6e4c66c3f50a0f6da104fded2913f4a064cf3	3	68	3	13	1	0	1	-1	-13.168
f7389c5b6d587e36e63daa21580edb464a576a6b	1	39	39	13	1	0	1	-1	-13.168
b287138ced0b7150881342b71cc9573cbe4fb3aa	3	35	2	13	1	0	1	-1	-13.168
6815e73ca79d15bfc9f8a50706c1b1f6c4aa98d4	5	287	143	13	1	0	1	-1	-13.168
597841d707f99cb2e073b82563c8f74da67400be	0	0	0	13	1	0	0	0	-13.168
c6acb5b8d55a1402ecf95c21aa9c359c4b80db8c	0	0	0	14	5	0	0	0	-13.004
7a5b3ab65a61cb6296ea4174ca183e5534beb860	10	372	11	24	40	0	1	-1	-12.864
d4c6a4b06cb5aa6823ed0b5fb3a6e11abb1d2029	15	660	74	13	4	0	1	-1	-12.268
2a1798e08f5af9adaa6f8368a402b0d0046b1c5a	5	203	75	13	4	0	1	-1	-12.268
b2a98f6bc6924d1fd25f7da583888c2f4f36d83c	8	482	77	12	1	0	2	-1	-12.132
9fed9823f58465f37dafb9a971a64eabbbde5301	0	0	0	12	1	0	0	0	-12.132
2aadc59754fce9939e413c00d141f416ab0d8180	12	136	320	12	2	0	1	-1	-11.832
fd13eee6d53af7b6f0cf94bd3e4d290dfa2286cb	26	1145	316	19	27	0	1	-2	-11.584
9bb35a78b8298930adf978046e9f6c53c6853e27	3	223	2	12	3	0	1	-1	-11.532
410582a5f918a279b8cf3787415fa778b840c8ee	4	92	1	12	3	0	1	-1	-11.532
4f987c2ddab0696d914ae53c951c12525da20415	0	0	0	12	3	0	0	0	-11.532
a71ad9c061b4fb5df937541a7a8c5d4d5d6baa6d	0	0	0	11	0	0	0	0	-11.396
4ad64c24bd53314de8a5b8b37932f681681bf7d0	0	0	0	11	0	0	0	0	-11.396
3f2826cb95c3f48e057e473c55df162544456470	12	103	95	18	25	0	1	-1	-11.148
eade4cca6565994d55e67889720851c10e9656a7	8	55	49	11	3	0	1	-1	-10.496
452a02ece317f0fc3a407ae6cf6f4a2bede881a7	6	131	10	10	0	0	1	-1	-10.36
c12c4dba5dc0d62f7e3ec24ce8c1821f8d2eb718	13	269	60	10	0	0	1	-1	-10.36
5e21e89e1039068e1d701af50074048a0d0015d6	0	0	0	10	0	0	0	0	-10.36
d52eca4c73be67412e73f72b749125e2a51d8f20	0	0	0	10	0	0	0	0	-10.36
83176d92a0065d754efcd6304e86d63f6be3b91c	0	0	0	10	0	0	0	0	-10.36
5f51089b323499355956a2d8f23ed866fae28fff	7	475	252	11	5	0	1	-1	-9.896
cf6a5ad20be296b3f28345bc39c4a6b375ffe893	8	221	282	11	6	0	1	-2	-9.596
e8d2668fc298ada58e7fb444a22aca1f1b975aee	5	43	10	9	0	0	1	-1	-9.324
e566bf12d54a966db1e1b6f23e84af1aae6564b8	10	506	0	9	0	0	1	-1	-9.324
60195378dbb1588e4f4769f0170d545a100aa023	2	46	7	9	0	0	1	-1	-9.324
e16b747b66c1827ddb35292f50fd0538ddaec2f9	3	149	60	9	0	0	1	-1	-9.324
12fae21cb5da0e0859088b42c83bab59a9a127e7	5	154	4	9	0	0	1	-1	-9.324
0738a75b2ba7f403dde1331be54fffdc9b3a54d3	0	0	0	9	0	0	0	0	-9.324
ba373c6cec09b04408449bbd57407b1b93332b6b	0	0	0	9	0	0	0	0	-9.324
3e6395d8b8a6bcd9e272c24071a5f9d473b08323	0	0	0	9	0	0	0	0	-9.324
7db5fb34aa4389c93783e824356ad0de84389c04	0	0	0	9	0	0	0	0	-9.324
a9d0558e4e5d6400fd900ea5b55d65513573347f	105	2264	6	13	14	0	1	-1	-9.268
812e1ce632bcb70656465ca8d0ba2fc41052baf5	12	99	55	10	4	0	1	-1	-9.16
e701da7cfa728290aabd90b36fb40b5f7ea78dcd	3	141	0	9	1	0	1	-1	-9.024
cdda71ae46aca89fa01fc59f78391205cde88a69	17	605	27	10	5	0	1	-1	-8.86
2dec49fe1392bd553c3fefdb3fb123fd31093f1c	0	0	0	40	109	0	0	0	-8.74
89a24abcb0eabc36c7281979d1620c92b6a128a9	41	1122	508	11	1	1	1	-1	-8.596
6f0942b3621430759a37a0034f6b0fc90ff572bf	5	80	4	10	6	0	1	-1	-8.56
1a596913c8e1fc22380f1c31476527c6c34b9000	6	232	1	9	3	0	1	-1	-8.424
e76bd8154f18adc2ffbf1f1628ccb2ab58eea8af	16	752	20	11	10	0	1	-1	-8.396
4e72f92bc792817e92a5bf766a0544113ca9ef33	6	309	141	8	0	0	1	-1	-8.288
01dd347fa0ec20129508e35d8526c3b0681f18f0	8	25	7	8	0	0	1	-1	-8.288
8736f1b293868a5d48055a49a0f7e0dee89fb84d	0	0	0	8	0	0	0	0	-8.288
7c9412cc07b4e2f8991ec23993917f68811c3130	0	0	0	8	0	0	0	0	-8.288
427726b85f3ead2171f90ddc33de50f2ad381314	0	0	0	8	0	0	0	0	-8.288
2ca4527caf7b49aea1c24960176f3288458364aa	1	23	0	9	4	0	1	-1	-8.124
2524af13872897c6ab16001c71765b8477b9ab2e	6	274	107	8	1	0	1	-1	-7.988
f434777d5120891a6ac7761184d69766540e7aa9	2	41	11	10	8	0	1	-1	-7.96
cb1bb66daaa85b69145889912d0d5bde447c0845	9	367	10	9	5	0	1	-1	-7.824
5107d8d784827827d8a1c481d6fc3bb11ed6c59b	5	115	0	8	2	0	1	-1	-7.688
96442cd9cd7b432a19d05dd945502a854541cae7	0	0	0	8	3	0	0	0	-7.388
a9aff088f327278a8873aef47fa8f80d3c5932fd	0	0	0	8	3	0	0	0	-7.388
840bb66944783f07dc551062f8274a6608a11214	18	332	164	7	0	0	1	-1	-7.252
c959186b31b149efc1b87bbca971e10cdfb7693f	1	9	0	7	0	0	1	-1	-7.252
49ace47432e473b8f5febb6cc00f177be5854ffb	27	402	118	7	0	0	1	-1	-7.252
17b94a044a03e49ca7f4a87af69a993354ec0df1	28	3807	81	7	0	0	1	-2	-7.252
2934c7b945d248ba6a9d37a77b8cb3639aa4ff3c	0	0	0	7	0	0	0	0	-7.252
8a78ca7f29410b6c7dc65880ae700de6e0451d12	0	0	0	7	0	0	0	0	-7.252
1782e10dc42838ab541c33fc074f6c5a4db8b6ea	14	222	26	11	14	0	1	-1	-7.196
39a667df802a9c85814cb945994aa0a27809faf9	4	468	309	7	1	0	1	-1	-6.952
3e0b5a637d8ef7e4ba1ef8e8d9ae91dcee56b5b1	6	7	102	7	1	0	1	-1	-6.952
978bef5bdf4796d73fcb59489166e9af48854a60	0	0	0	7	1	0	0	0	-6.952
42aa0f93101ea6d315201eadfc81d5e4fe9ae979	2	13	15	16	33	0	1	-1	-6.676
a264bfca758be01777a6d4bd299e5e58a32f64cb	10	342	471	7	2	0	1	-1	-6.652
2bb355c9f01c01802be6a0d707d030241af109d8	15	535	93	7	2	0	1	-1	-6.652
95d4f7b21f615cb9d8749dec2bbd6d8d4570969b	5	176	15	7	2	0	1	-1	-6.652
3533442f1f5642b9377124e5eb6e2745e17cdf0e	6	40	12	8	6	0	1	-1	-6.488
87eb6367cdaceb14ac9c30a7ba110b39063ea916	0	0	0	15	31	0	0	0	-6.24
d4657b8f8a5eb1105bf193feda3eaeb55621d0bd	3	6	0	6	0	0	1	-1	-6.216
dc1afa8cdffc75837d515727de98a26e4eb3dda9	2	64	0	6	0	0	1	-1	-6.216
e0f0cd6762c80ee19415b6eab6f870644e786fb5	14	99	40	6	0	0	1	-1	-6.216
8c71f97d45e89743ea6f92a600f931324f3f3aa1	0	0	0	6	0	0	0	0	-6.216
647e79a9ae396814412bf1afe018c88ceb41af21	0	0	0	6	0	0	0	0	-6.216
3ec0afc77a62305100bb30e8ff01f4bac44d9db9	0	0	0	6	0	0	0	0	-6.216
709fe5b9aa154b7e994dc90987ccb8d17dfffcc6	0	0	0	6	0	0	0	0	-6.216
d69a5351f6496bcd8f8c56f76c7c6724b445cbf9	5	43	39	8	7	0	1	-1	-6.188
e5cbc94daef71ac4a7148b9b36b0c5e9df593b9b	0	0	0	10	14	0	0	0	-6.16
284771d5903283a270ca350883c7e57c1bf59255	4	47	0	7	4	0	1	-1	-6.052
577d707f03bcee11f3805f8749c90cff0ee0fb64	4	29	24	9	11	0	1	-1	-6.024
6b41c1f885268ed890078f65df6f695c8d4d160d	2	26	7	6	1	0	1	-1	-5.916
29d441331e3e9e0fc22c0ca07d97133f609c6f0b	13	915	6	6	1	0	1	-1	-5.916
